symbol,sector,industry,ipo_date,sym_day0_OTC,sym_1day_ret,sym_5day_ret,sym_22day_ret,sym_91day_ret,sym_252day_ret,iwv_day0_OTC,iwv_1day_ret,iwv_5day_ret,iwv_22day_ret,iwv_91day_ret,iwv_252day_ret
OST,Technology,Electronic Components,4/27/22,2.92673251,-0.884014122,-0.880231971,-0.950327785,-0.95612708,-0.977634896,-0.000703227,0.023926832,-0.001614408,-0.031088359,-0.061953821,-0.007575609
NUTX,Healthcare,Health Information Services,4/4/22,2.827751266,-0.334000015,-0.774749994,-0.828999996,-0.904500002,-0.97475,0.00629624,-0.014285368,-0.024537561,-0.064113785,-0.062747104,-0.101891017
VEDU,Consumer Defensive,Education & Training Services,5/17/22,-0.107142857,-0.8,-0.925599999,-0.95,-0.96652,-0.974400001,0.004179799,-0.039500455,-0.027140596,-0.102901785,-0.10070676,0.026072043
ALLR,Healthcare,Biotechnology,12/21/21,-0.292929293,0.202380952,-0.078095238,-0.240952381,-0.857142857,-0.973904761,0.011749763,0.010064869,0.027466447,-0.062675082,-0.111549092,-0.179070254
JCSE,Industrials,Specialty Industrial Machinery,4/22/22,0.338028187,-0.020526284,-0.780526312,-0.191052638,-0.926842106,-0.973684211,-0.024651386,0.006156509,0.001863125,-0.072258986,-0.069536629,-0.026738853
GAME,Communication Services,Electronic Gaming & Multimedia,1/26/18,0,0,-0.037325039,-0.175738725,-0.804043546,-0.973561431,0.007264074,-0.006561574,-0.016965291,-0.042560713,-0.018653499,-0.061983785
BETS,Consumer Cyclical,Restaurants,6/4/15,0.20024419,0.258901349,0.040691761,-0.819938964,-0.873855539,-0.973448626,-0.004118519,-0.000715843,0.004294779,-0.010804386,-0.038268355,0.010168477
MF,Consumer Defensive,Grocery Stores,6/25/21,-0.092957785,-0.084886048,-0.084886048,-0.409937863,-0.581780531,-0.971842649,0.000391446,0.001839271,0.007004633,0.018353395,0.076645828,-0.107772018
TGL,Technology,Software—Application,8/11/22,1.663677062,-0.528619542,-0.660493811,-0.824915828,-0.896745226,-0.970258138,-0.006111722,0.016685237,0.013569542,-0.02242433,-0.093487763,0.065772174
LYT,Technology,Software—Application,6/15/22,-0.149499989,0.249265121,1.009406223,-0.768959435,-0.937095824,-0.969370957,0.004464086,-0.034866658,-0.009850587,0.01108773,0.006618059,0.177857136
SDIG,Financial Services,Capital Markets,10/20/21,0.07037037,-0.100692063,-0.041522491,-0.200346,-0.558823529,-0.968166091,0.003472828,0.003311631,0.007293297,0.033974411,-0.064629365,-0.195742142
ALPP,Industrials,Conglomerates,1/13/17,0,0,0,0,-0.966666667,-0.968000001,0.001630009,-0.004290277,-0.002366986,0.02877645,0.058204265,0.237642256
YQ,Consumer Defensive,Education & Training Services,12/4/20,0.006666638,0.145695365,0.636707638,0.277199658,-0.405865621,-0.967123935,0.007462709,-0.000863588,-0.004999019,0.022591892,0.142813661,0.223928525
SOPA,Technology,Software—Application,11/9/21,2.116128983,-0.068322967,0.073084941,-0.878467909,-0.944720494,-0.966252588,-0.005162039,-0.009440826,-0.001008964,-0.01574685,-0.063247278,-0.19317497
RCRT,Industrials,Staffing & Employment Services,9/25/12,0,0,0.036363636,-0.318181818,-0.912727273,-0.961818182,-0.012771375,-0.006468478,0.001175714,-0.020816247,0.06573981,0.223778436
RCRTW,----,----,9/29/23,0,0,0.036363636,-0.318181818,-0.912727273,-0.961818182,-0.012771375,-0.006468478,0.001175714,-0.020816247,0.06573981,0.223778436
BGXX,Healthcare,Drug Manufacturers—Specialty & Generic,5/17/22,0.578799325,0.904535561,-0.473955267,-0.902951081,-0.951277482,-0.961180432,0.004179799,-0.039500519,-0.02714066,-0.102901911,-0.100706885,0.026071975
TKLF,Consumer Cyclical,Specialty Retail,1/18/22,-0.219321818,0.0234375,-0.853437498,-0.905625001,-0.954687499,-0.960312501,-0.008675195,-0.010108762,-0.035418947,-0.017803654,-0.114499581,-0.131909867
TGVCW,----,----,11/22/21,0,0,-0.079999983,-0.101999998,-0.583999991,-0.960000001,-0.00787629,-7.24E-05,-0.009243878,-0.003910163,-0.039970664,-0.163085651
PRPO,Healthcare,Diagnostics & Research,6/30/17,0.034482759,0.344444444,0.233000014,-0.343333322,-0.85,-0.959111111,-0.003183773,0.002916034,0.000826333,0.020982401,0.072086127,0.145943152
UTRS,Healthcare,Medical Devices,10/22/21,-0.068322967,0.038888931,-0.007777744,-0.16111109,-0.425555547,-0.958888888,-3.72E-05,0.005163039,0.008840597,0.024664006,-0.0553789,-0.185839386
MKUL,Industrials,Pollution & Treatment Controls,11/24/21,0.973500061,0.026095737,-0.789587027,-0.837851535,-0.954395746,-0.958702814,0.0069485,-0.023122095,-0.04512437,0.011367965,-0.049556467,-0.149351227
OP,Industrials,Marine Shipping,11/30/21,0.466292135,0.252873662,-0.367816081,-0.59195402,-0.889495707,-0.957830054,-0.012516083,-0.014724924,0.002348971,0.041285396,-0.029498178,-0.137190079
JZ,Consumer Defensive,Education & Training Services,8/26/22,-0.851190476,-0.553600006,-0.706666667,-0.859199994,-0.939733334,-0.955306667,-0.034535166,-0.006975525,-0.024839425,-0.103211511,-0.060596744,0.096811284
IMPP,Energy,Oil & Gas Midstream,12/6/21,17.75,-0.368000014,-0.64266666,-0.724000007,-0.805333337,-0.9548,0.006400387,0.021310216,0.02279816,0.017061202,-0.04924391,-0.130959186
HEPS,Consumer Cyclical,Internet Retail,7/1/21,0.053333357,0.047654458,0.053611266,-0.034996296,-0.609828768,-0.954728223,0.003470535,0.005479308,-0.00341958,0.010220192,0.085997924,-0.145199386
MGAM,Communication Services,Electronic Gaming & Multimedia,7/29/22,1.486666573,0.159964256,-0.414655904,-0.767649687,-0.931099191,-0.952993741,0.011388232,-0.001890743,0.007814754,-0.019074807,-0.041245128,0.12471302
MGIH,Consumer Cyclical,Packaging & Containers,4/4/23,-0.19749999,-0.236760119,-0.34579443,-0.426791274,-0.383177571,-0.952993741,-0.007866359,-0.004134848,0.002898748,-0.012106209,0.099441178,0.12471302
CPOP,Communication Services,Entertainment,6/30/21,1.471451768,0.97689779,-0.133333304,-0.81188119,-0.90660066,-0.952475244,0.000547364,0.005548658,0.010237893,0.017076179,0.090259881,-0.131283195
LVO,Communication Services,Entertainment,8/18/17,0,0,0,0,-0.955555556,-0.950444444,-0.000488639,0.001117227,0.006564078,0.038268062,0.115904148,0.202289676
HPCO,Consumer Defensive,Tobacco,8/30/22,-0.795263152,-0.343187661,-0.415167086,-0.668380481,-0.883033419,-0.950128535,-0.015188351,-0.007451374,-0.020924532,-0.087062239,-0.020879095,0.138048845
GATEW,Financial Services,Shell Companies,11/22/21,0.071428609,0,-0.108333325,-0.175000025,-0.4166667,-0.950000003,-0.00787629,-7.24E-05,-0.009243651,-0.003910276,-0.039970778,-0.163085651
GRNQ,Industrials,Consulting Services,6/13/18,0.927966102,-0.032967033,-0.506373613,-0.52967033,-0.701098901,-0.948131867,-0.004568739,0.00350262,-0.00223433,0.009984614,-0.008554815,0.047700676
VERB,Technology,Software—Application,11/21/14,0.111111111,0,0.066666667,0.326666667,-0.133333333,-0.946666667,-0.005758367,0.004078498,0.002691886,0.010441191,0.026318453,0.027671186
VERBW,----,----,9/29/23,0.111111111,0,0.066666667,0.326666667,-0.133333333,-0.946666667,-0.005758367,0.004078498,0.002691886,0.010441191,0.026318453,0.027671186
ARBKL,----,----,11/18/21,-0.016064242,-0.000408172,0.002040743,0.014285546,-0.049387789,-0.945877061,-0.00046766,-0.002914959,-0.003850611,-0.040317652,-0.036671524,-0.168854449
TBLT,Industrials,Tools & Accessories,12/3/18,-0.277777778,-0.04,-0.076923077,-0.68,-0.597230769,-0.945538462,-0.003330123,-0.032440439,-0.055707425,-0.093584927,0.049232086,0.123475361
JZXN,Consumer Cyclical,Auto & Truck Dealerships,5/18/21,-0.602815708,-0.465628344,-0.452739002,-0.582169735,-0.866809885,-0.943609024,-0.008363267,-0.003463079,0.016908312,0.027078643,0.078897593,-0.050089822
TCBP,Healthcare,Biotechnology,2/11/22,-0.293333333,-0.04245283,-0.316037736,-0.566037736,-0.816509427,-0.941226415,-0.01934176,-0.004014675,-0.008224484,-0.037692414,-0.143385424,-0.05404543
TCBPW,----,----,9/28/23,-0.293333333,-0.04245283,-0.316037736,-0.566037736,-0.816509427,-0.941226415,-0.01934176,-0.004014675,-0.008224484,-0.037692414,-0.143385424,-0.05404543
GFAI,Industrials,Security & Protection Services,9/29/21,0.147826043,0,-0.116161582,-0.388888846,-0.829545448,-0.93863636,-0.00263094,-0.011366237,-0.002793017,0.053611715,0.009381193,-0.157687217
GFAIW,----,----,9/29/23,0.147826043,0,-0.116161582,-0.388888846,-0.829545448,-0.93863636,-0.00263094,-0.011366237,-0.002793017,0.053611715,0.009381193,-0.157687217
MTRYW,----,----,11/22/21,-0.090909111,-0.060000002,-0.079999983,-0.180000007,-0.599999994,-0.938000001,-0.00787629,-7.25E-05,-0.009243877,-0.003910162,-0.039970887,-0.163085746
MTRYW,----,----,11/22/21,-0.090909111,-0.060000002,-0.079999983,-0.180000007,-0.599999994,-0.938000001,-0.00787629,-7.23E-05,-0.009243652,-0.003910049,-0.039970555,-0.163085556
WTO,Technology,Consumer Electronics,4/6/21,2.421052746,1.10692303,0.267435905,-0.009230785,-0.824102561,-0.936923076,0.000740558,-0.000698948,0.011840724,0.019652215,0.087500174,0.094626146
EZGO,Consumer Cyclical,Recreational Vehicles,1/26/21,0.710103905,-0.497515181,-0.498067375,-0.579238011,-0.773053562,-0.936499175,-0.007234553,-0.024594586,-0.017654284,-0.00065072,0.096431743,0.121773843
ALZN,Healthcare,Biotechnology,6/15/21,-0.534482759,-0.233333305,-0.398518527,-0.482962962,-0.838518514,-0.936296295,-0.002837331,-0.005137617,-0.005177192,0.018178852,0.068926909,-0.13730536
SMFL,Consumer Defensive,Packaged Foods,2/16/22,-0.106666667,-0.313432836,-0.593283582,-0.623134328,-0.763805978,-0.935820897,0.00692192,-0.022850324,-0.058489273,-0.004838923,-0.14980024,-0.075869636
SNDL,Consumer Defensive,Beverages—Wineries & Distilleries,8/1/19,-0.348694278,0.232311276,0.515330134,-0.061320806,-0.729952844,-0.932311326,-0.008907146,-0.009217533,-0.024887592,-0.012558923,0.063983292,0.110416246
GSUN,Consumer Defensive,Education & Training Services,6/22/22,-0.142105303,0.257668771,0.441104348,0.726993922,0.594478588,-0.930674844,0.009671124,0.011198039,0.018648012,0.057054372,0.047219914,0.175569749
DBGI,Consumer Cyclical,Apparel Retail,5/14/21,-0.178743961,0.191176471,-0.108823529,-0.041176471,-0.285294118,-0.930294118,0.009117945,-0.002702596,-0.002783303,0.022868602,0.054277486,-0.078890004
DBGIW,----,----,9/29/23,-0.178743961,0.191176471,-0.108823529,-0.041176471,-0.285294118,-0.930294118,0.009117945,-0.002702596,-0.002783303,0.022868602,0.054277486,-0.078890004
BRSH,Consumer Defensive,Household & Personal Products,8/3/22,-0.245614035,0.106976744,0.172093023,-0.241860465,-0.774418605,-0.929860465,0.009930573,-0.000583328,-0.006208032,-0.044748079,-0.050531955,0.093166062
BRSHW,----,----,9/29/23,-0.245614035,0.106976744,0.172093023,-0.241860465,-0.774418605,-0.929860465,0.009930573,-0.000583328,-0.006208032,-0.044748079,-0.050531955,0.093166062
ZFOXW,----,----,8/4/22,-0.151363641,-0.125156235,-0.303695818,-0.513479737,-0.602213901,-0.928584185,0.000500501,-0.000250153,0.016634068,-0.053737406,-0.036366438,0.089315758
TMCWW,----,----,9/14/21,0.034999967,-0.038647307,-0.164251172,-0.647342975,-0.888888883,-0.928502412,-0.008554376,0.008780186,-0.017940591,-0.012553836,-0.027680873,-0.122107939
COMSP,Communication Services,Telecom Services,10/27/21,-0.019286057,0.002928734,-0.079497975,-0.324267806,-0.315010226,-0.926487298,-0.007792938,0.01098083,0.020844952,0.006476956,-0.096345347,-0.16491431
COMSW,----,----,9/28/23,-0.019286057,0.002928734,-0.079497975,-0.324267806,-0.315010226,-0.926487298,-0.007792938,0.01098083,0.020844952,0.006476956,-0.096345347,-0.16491431
TIRX,Financial Services,Insurance Brokers,1/28/21,-0.54,-0.211801233,-0.14099377,3.959627329,-0.532298118,-0.924844718,0.00256393,-0.018871954,0.013845504,0.037612016,0.117082316,0.120479037
TLIS,Healthcare,Medical Devices,2/12/21,-0.04137931,-0.118705036,-0.199640288,-0.366906475,-0.629136705,-0.923021586,0.006857122,-0.001849688,-0.007356971,0.003489398,0.06879775,0.111440184
DUOT,Technology,Software—Application,5/30/17,0,0.047619048,0.047619048,0.028571447,-0.495238077,-0.921904763,0,-0.000560288,0.011133135,0.015474094,0.068594166,0.141331174
DVAL,----,----,10/31/22,-0.002120933,0.006691354,-0.001338322,0.066992045,-0.012414085,-0.921904763,-0.000446368,-0.003215558,-0.026841172,0.051270589,-0.003759037,0.141331174
SHPW,Industrials,Specialty Industrial Machinery,10/4/21,-0.009673624,0.041514062,-0.10866904,-0.162393103,-0.547008519,-0.920757018,-0.009798542,0.009424324,0.020183684,0.076926054,0.029585204,-0.155444771
SHPWW,Industrials,Specialty Industrial Machinery,9/29/23,-0.009673624,0.041514062,-0.10866904,-0.162393103,-0.547008519,-0.920757018,-0.009798542,0.009424324,0.020183684,0.076926054,0.029585204,-0.155444771
TNON,Healthcare,Medical Devices,4/27/22,0.020408199,0.068444485,0.288888889,-0.866666667,-0.909333335,-0.919111109,-0.000703227,0.023926701,-0.001614538,-0.031088293,-0.061953882,-0.007575673
TNONW,----,----,9/29/23,0.020408199,0.068444485,0.288888889,-0.866666667,-0.909333335,-0.919111109,-0.000703227,0.023926701,-0.001614538,-0.031088293,-0.061953882,-0.007575673
BBLGW,----,----,10/13/21,0.396713685,-0.033613512,-0.126050494,-0.369747929,-0.732773132,-0.915966389,0.002050841,0.016527608,0.033441421,0.063252924,-0.032593066,-0.190480211
VAXX,Healthcare,Biotechnology,11/11/21,-0.020710082,-0.184289993,-0.109365532,-0.564350431,-0.737160114,-0.913595165,-0.003113743,0.007227546,0.007227546,-0.010370636,-0.05746979,-0.158892224
XFOR,Healthcare,Biotechnology,11/16/17,0.079230773,-0.007127566,0.151817519,-0.111190313,0.631503871,-0.913043477,0.005052853,-0.001632262,0.006725003,0.041786546,0.029164754,0.070043697
PT,Financial Services,Credit Services,10/25/18,-0.129616714,-0.023218587,-0.055244207,-0.062449984,-0.099279435,-0.912730188,0.011189585,-0.01697533,0.003395025,-0.007293311,0.025411882,0.13167028
GNLN,Consumer Defensive,Tobacco,4/18/19,-0.272413793,-0.076303318,-0.097156398,-0.251184834,-0.697156398,-0.911848341,-0.001110411,0.000175522,0.006786823,-0.021179539,-0.011431569,-0.016844965
GNLX,Healthcare,Biotechnology,1/26/23,0.025000016,-0.022764206,-0.065040665,1.032520294,3.616259992,-0.911848341,0.004372259,0.003542305,0.017839575,-0.015150982,0.052819318,-0.016844965
BAOS,Communication Services,Advertising Agencies,2/8/21,0.073939391,-0.143340838,-0.199774247,-0.426636576,-0.612866817,-0.911173812,0.004422868,0.000211548,0.007155514,-0.007198065,0.070529896,0.11464013
IREN,Financial Services,Capital Markets,11/17/21,-0.126785687,-0.042944831,-0.141104321,-0.276073611,-0.361554226,-0.910020451,-0.002912303,0.001910988,-0.005372566,-0.026259865,-0.027140936,-0.164123984
LFLY,Healthcare,Pharmaceutical Retailers,2/7/22,0.047477698,-0.111897987,0.007082153,-0.053824299,-0.155807369,-0.909348439,-0.005710642,0.009289843,-0.011101171,-0.042207781,-0.183440825,-0.057856515
LFLYW,----,----,9/29/23,0.047477698,-0.111897987,0.007082153,-0.053824299,-0.155807369,-0.909348439,-0.005710642,0.009289843,-0.011101171,-0.042207781,-0.183440825,-0.057856515
SNES,Basic Materials,Specialty Chemicals,12/8/16,-0.010909091,-0.019607843,-0.019607843,-0.033088235,-0.06372549,-0.908823528,0.003510353,0.004391008,-0.001042067,0.008468748,0.049435649,0.185014226
MBRX,Healthcare,Biotechnology,6/2/16,-0.110122336,0.112500032,0.046250025,-0.120625019,-0.446250002,-0.908749998,0.006225213,-0.003856387,0.007391766,-0.001847821,0.037783776,0.178711571
SONM,Technology,Communication Equipment,5/10/19,-0.060683748,0.002729713,0.005459495,0.539581389,-0.716105547,-0.908098269,0.008659498,-0.026049513,-0.002293518,-0.000588064,0.043881386,0.016434128
SISI,Consumer Defensive,Farm Products,9/28/16,2.385697861,-0.432687034,-0.754847653,-0.826869815,-0.888850424,-0.907548479,0.003830562,-0.0092672,-0.009656716,-0.020637109,0.0659194,0.177538551
HCTI,Healthcare,Health Information Services,10/13/21,0.132492134,-0.025069679,-0.150417863,-0.236768845,-0.699164353,-0.905849583,0.002050841,0.016527731,0.033441667,0.063253175,-0.03259307,-0.190480113
ECOR,Healthcare,Medical Devices,6/22/18,0.102777778,-0.062972292,-0.120403043,-0.261964736,-0.492695204,-0.90528967,-0.003508783,-0.014205696,-0.015420178,0.019829142,-0.033559654,0.069785259
RENT,Consumer Cyclical,Apparel Retail,10/27/21,-0.161304308,-0.022809773,-0.170036316,-0.176775565,-0.72576466,-0.904613792,-0.007792938,0.010980712,0.020844716,0.006476838,-0.096345511,-0.164914407
GROM,Communication Services,Internet Content & Information,9/14/17,0,0,-0.137931034,-0.655172414,-0.785440613,-0.904214559,0.001489312,0.001757028,0.006151415,0.027444574,0.141018396,0.187333623
GROMW,----,----,9/29/23,0,0,-0.137931034,-0.655172414,-0.785440613,-0.904214559,0.001489312,0.001757028,0.006151415,0.027444574,0.141018396,0.187333623
ALAR,Technology,Software—Infrastructure,8/17/18,-0.083333333,0.09,0.06,-0.036363636,-0.771818182,-0.902727273,0.00504335,0.002361367,0.004250637,0.020072011,-0.131653787,0.031474443
SPI,Technology,Solar,1/20/16,0.377583313,-0.009739282,-0.144032411,-0.493557544,-0.697537955,-0.901397378,0.005821449,0.004226119,0.024253714,0.030776421,0.142060134,0.262422694
AHI,Technology,Software—Application,11/19/21,-0.170588216,-0.210401915,-0.141843948,0.18912534,-0.639479913,-0.900709223,-0.002125151,-0.004295484,-0.024038895,-0.018071491,-0.047362273,-0.162694062
NEXI,Healthcare,Biotechnology,2/12/21,0.100825714,-0.079747353,-0.091985785,-0.141729181,-0.40228976,-0.899328861,0.006857122,-0.001849689,-0.007356838,0.003489531,0.068797688,0.111440524
ASTR,Industrials,Aerospace & Defense,7/1/21,0.048780488,0.199224822,0.074418573,-0.341085271,-0.225581364,-0.899224806,0.003470535,0.005479431,-0.003419581,0.010220561,0.085998302,-0.145199281
KAVL,Consumer Defensive,Tobacco,1/8/21,0.032786853,0.238095202,0.190476199,4.158730198,0.634920602,-0.899074072,0.000611591,-0.006068419,-0.003318156,0.031346878,0.071029187,0.204748882
DCTH,Healthcare,Medical Devices,5/3/18,-0.232954545,2.051851852,1.437037037,1.392592593,1.562962963,-0.898518517,0.001284105,0.013080248,0.027186291,0.049756236,0.106914048,0.132490763
AREB,Consumer Cyclical,Footwear & Accessories,2/7/22,-0.263333333,0.185520362,0.271493213,-0.2760181,-0.669683258,-0.896380092,-0.005710642,0.009289722,-0.011101291,-0.042207842,-0.183440825,-0.057856515
AREBW,----,----,9/29/23,-0.263333333,0.185520362,0.271493213,-0.2760181,-0.669683258,-0.896380092,-0.005710642,0.009289722,-0.011101291,-0.042207842,-0.183440825,-0.057856515
PIK,Consumer Cyclical,Internet Retail,11/11/21,-0.14914913,-0.107058806,-0.090588233,-0.070588224,-0.427058837,-0.895294119,-0.003113743,0.00722743,0.00722743,-0.010370634,-0.057469948,-0.158892473
BOLT,Healthcare,Biotechnology,2/5/21,0.231800807,0.013996794,0.073405807,0.110108769,-0.49020222,-0.894556767,-0.001408098,0.009186835,0.011152351,-0.004273011,0.081180851,0.116885687
LIAN,Healthcare,Biotechnology,11/1/21,-0.116129045,-0.022627699,0.051824821,-0.127737228,-0.752554733,-0.894160579,0.000879053,0.003659736,0.017822388,-0.032754046,-0.103739854,-0.16970201
LCFY,Communication Services,Internet Content & Information,3/25/22,0,-0.011976093,-0.299101833,-0.646706597,-0.82035929,-0.892365274,0.002594716,0.007116636,-0.001484394,-0.082661126,-0.084674898,-0.119074448
LCFYW,----,----,9/29/23,0,-0.011976093,-0.299101833,-0.646706597,-0.82035929,-0.892365274,0.002594716,0.007116636,-0.001484394,-0.082661126,-0.084674898,-0.119074448
FEMY,Healthcare,Medical Instruments & Supplies,6/18/21,-0.082568802,-0.095833302,-0.175833305,-0.331666629,-0.405000011,-0.891666671,-0.005688411,0.01418154,0.026066733,0.032190727,0.094052348,-0.141267499
TMC,Basic Materials,Other Industrial Metals & Mining,9/10/21,-0.14872445,0.323060575,0.316684436,-0.625929858,-0.8459086,-0.891604676,-0.011859828,0.002006895,0.003824213,-0.020088744,-0.000272681,-0.09668377
PXMD,Healthcare,Biotechnology,8/26/22,-0.244615408,-0.256619102,-0.287169021,-0.476578409,-0.537678197,-0.891242363,-0.034535166,-0.006975459,-0.024839491,-0.103211445,-0.060596744,0.096811284
OMIC,Healthcare,Medical Instruments & Supplies,5/27/21,-0.056206868,-0.013518481,0.01315304,-0.002192231,-0.560833026,-0.890025579,-0.000918257,0.001078893,-0.002317885,0.025238518,0.032731871,-0.073321813
YOSH,Consumer Cyclical,Restaurants,9/9/22,-0.198076879,-0.268585157,-0.491606751,-0.717506007,-0.62829738,-0.889928062,0.009764031,0.0113237,-0.038508736,-0.110228756,-0.037109418,0.10812176
CYT,Healthcare,Biotechnology,6/18/21,0.054545431,-0.004597697,0.003448245,-0.051149391,-0.002298794,-0.889655172,-0.005688411,0.014181666,0.026066605,0.032190599,0.094052278,-0.141267554
BIRD,Consumer Cyclical,Apparel Retail,11/3/21,0.348739462,-0.101765271,-0.247144325,-0.508826588,-0.817237787,-0.889581166,0.008110482,0.003805279,0.005726007,-0.035696137,-0.102663138,-0.202178417
BBLG,Healthcare,Medical Devices,10/13/21,0.071578926,-0.096267173,-0.108055012,-0.237720996,-0.589390949,-0.887033397,0.002050841,0.016527671,0.033441609,0.063252997,-0.032593012,-0.190480124
ALT,Healthcare,Biotechnology,5/26/17,-0.013333356,-0.060810801,-0.03828822,-0.218468462,-0.484234245,-0.886936931,0.000419622,-0.001537743,0.010906034,0.004893827,0.06123856,0.15116445
KALV,Healthcare,Biotechnology,4/9/15,-0.144615425,-0.048561138,0.008992865,0.071942528,0.16187059,-0.886690646,0.003605745,0.005189666,0.007585005,0.007824343,0.007349242,-0.024339129
IFBD,Technology,Software—Application,4/20/21,-0.144680851,-0.213930348,-0.281923715,-0.371475954,-0.545605307,-0.886567162,-0.005256937,0.011057434,0.018049442,-0.00569139,0.077498,0.043083068
THAR,Healthcare,Biotechnology,1/12/22,-0.071999995,-0.209770119,-0.261494276,0.143103421,-0.738218388,-0.88649425,-0.002363639,-0.014870917,-0.043483042,-0.064914786,-0.162669181,-0.150375047
LKCO,Technology,Software—Application,1/15/19,-0.491666667,-0.417213106,0.106557377,-0.225409836,-0.454918033,-0.885245902,0.009803212,0.003192335,0.010098957,0.058509141,0.088950963,0.272499891
LLYVA,Communication Services,Entertainment,8/14/23,-0.007516575,0.01747738,-0.029711634,-0.08214394,-0.454918033,-0.885245902,0.007125488,-0.011351202,-0.026201147,-0.005597847,0.088950963,0.272499891
LLYVK,Communication Services,Entertainment,8/8/23,0.030478511,0.010351921,0.01153503,-0.057675264,-0.454918033,-0.885245902,0.002447762,-0.00701526,-0.00298451,-0.010542338,0.088950963,0.272499891
LUCY,Healthcare,Medical Instruments & Supplies,8/15/22,-0.093846174,-0.059422736,-0.185059372,-0.617996596,-0.86570458,-0.883361631,0.009403721,0.001485764,-0.018632322,-0.080231269,-0.09697597,0.037256833
GHSI,Healthcare,Drug Manufacturers—Specialty & Generic,4/5/19,-0.036649215,-0.035326087,-0.038043478,-0.494565217,-0.926630435,-0.883152174,0.003003768,0.000704453,-0.00070474,-0.00170305,-0.016098133,-0.150531953
CMND,Healthcare,Biotechnology,11/15/22,0.088560888,-0.059322017,-0.127118642,-0.316779649,-0.730508473,-0.881481486,-0.007050425,-0.009481847,-0.013508255,-0.027077272,-0.006725591,0.230873209
CMMB,Healthcare,Biotechnology,2/12/19,-0.060869549,-0.152777828,-0.166666681,-0.333333363,-0.583333341,-0.881481486,0.006265086,0.003143545,0.014239769,0.023362896,0.074591124,0.230873209
